rank,title,rating,votes,year,director_actors,genre,link,poster
1,肖申克的救赎,9.7,3265834,1994,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,犯罪 剧情,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.webp
2,霸王别姬,9.6,2409226,1993,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,剧情 爱情 同性,https://movie.douban.com/subject/1291546/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911205318.webp
19,控方证人,9.6,735044,1957,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,剧情 犯罪 悬疑 惊悚,https://movie.douban.com/subject/1296141/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2927451337.webp
3,泰坦尼克号,9.5,2483151,1997,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,剧情 爱情 灾难,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.webp
4,阿甘正传,9.5,2417565,1994,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,剧情 爱情,https://movie.douban.com/subject/1292720/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500944103.webp
6,美丽人生,9.5,1474206,1997,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,剧情 喜剧 爱情 战争,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.webp
11,辛德勒的名单,9.5,1240987,1993,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,剧情 历史 战争,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.webp
111,茶馆,9.5,207194,1982,导演: 谢添 Tian Xie   主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,剧情 历史,https://movie.douban.com/subject/1461403/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.webp
162,背靠背，脸对脸,9.5,179288,1994,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   主演: 牛振华 Zhenhua N...,剧情,https://movie.douban.com/subject/1307856/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.webp
174,高山下的花环,9.5,158046,1984,导演: 谢晋 Jin Xie   主演: 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,剧情 战争,https://movie.douban.com/subject/1422283/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319879389.webp
8,这个杀手不太冷,9.4,2540385,1994,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,剧情 动作 犯罪,https://movie.douban.com/subject/1295644/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.webp
5,千与千寻,9.4,2521737,2001,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,剧情 动画 奇幻,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.webp
9,盗梦空间,9.4,2312370,2010,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,剧情 科幻 悬疑 冒险,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.webp
7,星际穿越,9.4,2164444,2014,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,剧情 科幻 冒险,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.webp
10,楚门的世界,9.4,2004086,1998,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,剧情 科幻,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.webp
12,忠犬八公的故事,9.4,1535800,2009,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,剧情,https://movie.douban.com/subject/3011091/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.webp
38,十二怒汉,9.4,575112,1957,导演: 西德尼·吕美特 Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁...,剧情,https://movie.douban.com/subject/1293182/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.webp
53,大闹天宫,9.4,506825,1961,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,剧情 动画 奇幻 古装,https://movie.douban.com/subject/1418019/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.webp
14,疯狂动物城,9.3,2302464,2016,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,喜剧 动画 冒险,https://movie.douban.com/subject/25662329/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2924128964.webp
13,海上钢琴师,9.3,1869799,1998,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,剧情 音乐,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2914698334.webp
18,无间道,9.3,1555064,2002,导演: 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,剧情 犯罪 惊悚,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.webp
16,机器人总动员,9.3,1482195,2008,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,科幻 动画 冒险,https://movie.douban.com/subject/2131459/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.webp
17,放牛班的春天,9.3,1465527,2004,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...,剧情 音乐,https://movie.douban.com/subject/1291549/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.webp
23,触不可及,9.3,1287481,2011,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,剧情 喜剧,https://movie.douban.com/subject/6786002/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.webp
